longitude,latitude,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.78965921,43.0050267,176.8812221,2020/10/30 18:30:02+00,,Sign 1 ,2:30:02 PM,,"Oct 30, 2020 at 2:30:02 PM",,,,,,,,,,,,,,,,
-78.78985561,43.00429977,176.6095406,2020/10/30 18:31:28+00,,Sign 2,2:31:28 PM,,"Oct 30, 2020 at 2:31:28 PM",,,,,,,,,,,,,,,,
-78.78940378,43.00427553,174.3647282,2020/10/30 18:32:57+00,,Sign 3,2:32:57 PM,,"Oct 30, 2020 at 2:32:57 PM",,,,,,,,,,,,,,,,
-78.78946924,43.00410066,172.1352158,2020/10/30 18:34:16+00,,Sign 4,2:34:16 PM,,"Oct 30, 2020 at 2:34:16 PM",,,,,,,,,,,,,,,,
-78.78981438,43.00373953,176.1975925,2020/10/30 18:36:51+00,,Sign 5,2:36:51 PM,,"Oct 30, 2020 at 2:36:51 PM",,,,,,,,,,,,,,,,
-78.79007705,43.00340313,174.5035125,2020/10/30 18:37:53+00,,Sign 6,2:37:53 PM,,"Oct 30, 2020 at 2:37:53 PM",,,,,,,,,,,,,,,,
-78.78919102,43.00344155,174.8001834,2020/10/30 18:39:45+00,,Sign 7,2:39:45 PM,,"Oct 30, 2020 at 2:39:45 PM",,,,,,,,,,,,,,,,
-78.78770298,43.00344142,176.4735883,2020/10/30 18:42:15+00,,Sign 8,2:42:15 PM,,"Oct 30, 2020 at 2:42:15 PM",,,,,,,,,,,,,,,,
-78.78617422,43.0033332,178.0498341,2020/10/30 18:45:03+00,,Sign 9,2:45:03 PM,,"Oct 30, 2020 at 2:45:03 PM",,,,,,,,,,,,,,,,
-78.78600968,43.00366229,175.6145886,2020/10/30 18:46:49+00,,Sign 10,2:46:49 PM,,"Oct 30, 2020 at 2:46:49 PM",,,,,,,,,,,,,,,,
-78.78582366,43.00346492,176.018264,2020/10/30 18:47:53+00,,Sign 11,2:47:53 PM,,"Oct 30, 2020 at 2:47:53 PM",,,,,,,,,,,,,,,,
-78.7857107,43.00324071,175.9879877,2020/10/30 18:49:04+00,,Sign 12,2:49:04 PM,,"Oct 30, 2020 at 2:49:04 PM",,,,,,,,,,,,,,,,
-78.78600907,43.00311032,176.4993,2020/10/30 18:50:13+00,,Sign 13,2:50:13 PM,,"Oct 30, 2020 at 2:50:13 PM",,,,,,,,,,,,,,,,
-78.78630563,43.00309421,176.6183436,2020/10/30 18:51:14+00,,Sign 14,2:51:14 PM,,"Oct 30, 2020 at 2:51:14 PM",,,,,,,,,,,,,,,,
-78.78679622,43.00243663,176.7863404,2020/10/30 18:53:00+00,,Sign 15,2:53:00 PM,,"Oct 30, 2020 at 2:53:00 PM",,,,,,,,,,,,,,,,
-78.78787576,43.00300652,178.2728666,2020/10/30 18:55:42+00,,Sign 16,2:55:42 PM,,"Oct 30, 2020 at 2:55:42 PM",,,,,,,,,,,,,,,,
-78.78860702,43.00302552,178.4374541,2020/10/30 18:57:03+00,,Sign 17,2:57:03 PM,,"Oct 30, 2020 at 2:57:03 PM",,,,,,,,,,,,,,,,
-78.78859612,43.00293401,176.9358675,2020/10/30 18:57:15+00,,Sign 18,2:57:15 PM,,"Oct 30, 2020 at 2:57:15 PM",,,,,,,,,,,,,,,,
-78.78891288,43.00310713,177.9734731,2020/10/30 18:58:52+00,,Sign 19,2:58:52 PM,,"Oct 30, 2020 at 2:58:52 PM",,,,,,,,,,,,,,,,
-78.78935888,43.00308424,176.9492038,2020/10/30 19:00:07+00,,Sign 20,3:00:07 PM,,"Oct 30, 2020 at 3:00:07 PM",,,,,,,,,,,,,,,,
-78.78994918,43.00306853,176.7393426,2020/10/30 19:00:56+00,,Sign 21,3:00:56 PM,,"Oct 30, 2020 at 3:00:56 PM",,,,,,,,,,,,,,,,
-78.79162532,43.00308663,176.922393,2020/10/30 19:04:07+00,,Sign 22,3:04:07 PM,,"Oct 30, 2020 at 3:04:07 PM",,,,,,,,,,,,,,,,
-78.79159574,43.00323777,178.6609289,2020/10/30 19:04:59+00,,Sign 23,3:04:59 PM,,"Oct 30, 2020 at 3:04:59 PM",,,,,,,,,,,,,,,,
-78.7932155,43.00304858,178.3053922,2020/10/30 19:07:33+00,,Sign 24,3:07:33 PM,,"Oct 30, 2020 at 3:07:33 PM",,,,,,,,,,,,,,,,
-78.79330452,43.00322972,177.7766786,2020/10/30 19:08:21+00,,Sign 25,3:08:21 PM,,"Oct 30, 2020 at 3:08:21 PM",,,,,,,,,,,,,,,,
-78.79342873,43.00322032,177.5948619,2020/10/30 19:09:57+00,,Sign 26,3:09:57 PM,,"Oct 30, 2020 at 3:09:57 PM",,,,,,,,,,,,,,,,
-78.79485245,43.00321657,178.1259522,2020/10/30 19:12:14+00,,Sign 27,3:12:14 PM,,"Oct 30, 2020 at 3:12:14 PM",,,,,,,,,,,,,,,,
-78.79510733,43.00299673,178.2822854,2020/10/30 19:13:14+00,,Sign 28,3:13:14 PM,,"Oct 30, 2020 at 3:13:14 PM",,,,,,,,,,,,,,,,
-78.79330559,43.00224203,177.7964869,2020/10/30 19:16:53+00,,Sign 29,3:16:53 PM,,"Oct 30, 2020 at 3:16:53 PM",,,,,,,,,,,,,,,,
-78.7937812,43.00228747,178.2815945,2020/10/30 19:17:55+00,,Sign 30,3:17:55 PM,,"Oct 30, 2020 at 3:17:55 PM",,,,,,,,,,,,,,,,
-78.7936191,43.00163583,179.5538846,2020/10/30 19:20:42+00,,Sign 31,3:20:42 PM,,"Oct 30, 2020 at 3:20:42 PM",,,,,,,,,,,,,,,,
-78.79269822,43.00139577,180.0608542,2020/10/30 19:22:15+00,,Sign 32,3:22:15 PM,,"Oct 30, 2020 at 3:22:15 PM",,,,,,,,,,,,,,,,
-78.79214197,43.00143862,180.3874849,2020/10/30 19:23:15+00,,Sign 33,3:23:15 PM,,"Oct 30, 2020 at 3:23:15 PM",,,,,,,,,,,,,,,,
-78.7910874,43.00147397,179.8138689,2020/10/30 19:24:53+00,,Sign 34,3:24:53 PM,,"Oct 30, 2020 at 3:24:53 PM",,,,,,,,,,,,,,,,
-78.79021715,43.0010677,181.6667417,2020/10/30 19:27:23+00,,Sign 35,3:27:23 PM,,"Oct 30, 2020 at 3:27:23 PM",,,,,,,,,,,,,,,,
-78.78989322,43.00236431,179.0162581,2020/10/30 19:30:08+00,,Sign 36,3:30:08 PM,,"Oct 30, 2020 at 3:30:08 PM",,,,,,,,,,,,,,,,
-78.78927741,43.00206174,177.3689019,2020/10/30 19:31:33+00,,Sign 37,3:31:33 PM,,"Oct 30, 2020 at 3:31:33 PM",,,,,,,,,,,,,,,,
-78.78854155,43.00224097,177.0027684,2020/10/30 19:33:02+00,,Sign 38,3:33:02 PM,,"Oct 30, 2020 at 3:33:02 PM",,,,,,,,,,,,,,,,
-78.788443,43.00179651,179.7055973,2020/10/30 19:34:32+00,,Sign 39,3:34:32 PM,,"Oct 30, 2020 at 3:34:32 PM",,,,,,,,,,,,,,,,
-78.78759703,43.00183545,180.7028257,2020/10/30 19:36:05+00,,Sign 40,3:36:05 PM,,"Oct 30, 2020 at 3:36:05 PM",,,,,,,,,,,,,,,,
-78.78772175,43.00204944,179.8575526,2020/10/30 19:36:56+00,,Sign 41,3:36:56 PM,,"Oct 30, 2020 at 3:36:56 PM",,,,,,,,,,,,,,,,
-78.78753544,43.00171996,179.6706172,2020/10/30 19:39:21+00,,Sign 42,3:39:21 PM,,"Oct 30, 2020 at 3:39:21 PM",,,,,,,,,,,,,,,,
-78.78783223,43.00166096,179.5250217,2020/10/30 19:40:20+00,,Sign 43,3:40:20 PM,,"Oct 30, 2020 at 3:40:20 PM",,,,,,,,,,,,,,,,
-78.78676657,43.00168423,180.4030971,2020/10/30 19:41:48+00,,Sign 44,3:41:48 PM,,"Oct 30, 2020 at 3:41:48 PM",,,,,,,,,,,,,,,,
-78.78665926,43.00168523,179.2519662,2020/10/30 19:42:37+00,,Sign 45,3:42:37 PM,,"Oct 30, 2020 at 3:42:37 PM",,,,,,,,,,,,,,,,
-78.78619501,43.00161571,180.6327582,2020/10/30 19:44:39+00,,Sign 46,3:44:39 PM,,"Oct 30, 2020 at 3:44:39 PM",,,,,,,,,,,,,,,,
-78.78570514,43.00140645,180.7713949,2020/10/30 19:46:14+00,,Sign 47,3:46:14 PM,,"Oct 30, 2020 at 3:46:14 PM",,,,,,,,,,,,,,,,
-78.78547475,43.00082828,185.3341522,2020/10/30 19:48:00+00,,Sign 48,3:48:00 PM,,"Oct 30, 2020 at 3:48:00 PM",,,,,,,,,,,,,,,,
-78.78466958,43.00072067,180.5240914,2020/10/30 19:49:47+00,,Sign 49,3:49:47 PM,,"Oct 30, 2020 at 3:49:47 PM",,,,,,,,,,,,,,,,
-78.78562775,43.00058896,184.6487725,2020/10/30 19:53:44+00,,Sign 50,3:53:44 PM,,"Oct 30, 2020 at 3:53:44 PM",,,,,,,,,,,,,,,,
-78.78528964,43.00031376,185.6855167,2020/10/30 19:55:03+00,,Sign 51,3:55:03 PM,,"Oct 30, 2020 at 3:55:03 PM",,,,,,,,,,,,,,,,
-78.78523677,42.99991661,184.4346336,2020/10/30 19:56:08+00,,Sign 52,3:56:08 PM,,"Oct 30, 2020 at 3:56:08 PM",,,,,,,,,,,,,,,,
-78.78456807,42.99992705,182.917001,2020/10/30 19:57:18+00,,Sign 53,3:57:18 PM,,"Oct 30, 2020 at 3:57:18 PM",,,,,,,,,,,,,,,,
-78.78411605,42.9998834,183.3776901,2020/10/30 19:58:24+00,,Sign 54,3:58:24 PM,,"Oct 30, 2020 at 3:58:24 PM",,,,,,,,,,,,,,,,
-78.78410073,42.99975992,181.4005508,2020/10/30 19:59:09+00,,Sign 55,3:59:09 PM,,"Oct 30, 2020 at 3:59:09 PM",,,,,,,,,,,,,,,,
-78.78341049,42.99996797,181.7280965,2020/10/30 20:00:34+00,,Sign 56,4:00:34 PM,,"Oct 30, 2020 at 4:00:34 PM",,,,,,,,,,,,,,,,
-78.78371352,43.00027802,181.234433,2020/10/30 20:01:33+00,,Sign 57,4:01:33 PM,,"Oct 30, 2020 at 4:01:33 PM",,,,,,,,,,,,,,,,
-78.78403948,43.00022249,184.3415756,2020/10/30 20:02:29+00,,Sign 58,4:02:29 PM,,"Oct 30, 2020 at 4:02:29 PM",,,,,,,,,,,,,,,,
-78.78296438,42.99972411,181.6977057,2020/10/30 20:04:49+00,,Sign 59,4:04:49 PM,,"Oct 30, 2020 at 4:04:49 PM",,,,,,,,,,,,,,,,
-78.78281598,42.99943958,180.1214108,2020/10/30 20:05:56+00,,Sign 60,4:05:56 PM,,"Oct 30, 2020 at 4:05:56 PM",,,,,,,,,,,,,,,,
-78.78293812,42.99943211,180.2180032,2020/10/30 20:06:34+00,,Sign 61,4:06:34 PM,,"Oct 30, 2020 at 4:06:34 PM",,,,,,,,,,,,,,,,
-78.78256517,42.99946187,180.5826589,2020/10/30 20:07:35+00,,Sign 62,4:07:35 PM,,"Oct 30, 2020 at 4:07:35 PM",,,,,,,,,,,,,,,,
-78.78289775,43.00036838,180.9563178,2020/10/30 20:09:36+00,,Sign 63,4:09:36 PM,,"Oct 30, 2020 at 4:09:36 PM",,,,,,,,,,,,,,,,
-78.78024027,43.00020975,180.5266531,2020/10/30 20:15:19+00,,Sign 64,4:15:19 PM,,"Oct 30, 2020 at 4:15:19 PM",,,,,,,,,,,,,,,,
-78.78009467,43.00036346,180.9639743,2020/10/30 20:21:00+00,,Sign 65,4:21:00 PM,,"Oct 30, 2020 at 4:21:00 PM",,,,,,,,,,,,,,,,
-78.77998093,43.00023121,180.6305586,2020/10/30 20:21:47+00,,Sign 66,4:21:47 PM,,"Oct 30, 2020 at 4:21:47 PM",,,,,,,,,,,,,,,,
-78.7799504,43.00065302,180.8422315,2020/10/30 20:22:51+00,,Sign 67,4:22:51 PM,,"Oct 30, 2020 at 4:22:51 PM",,,,,,,,,,,,,,,,
-78.77919316,43.00147076,178.5629493,2020/10/30 20:24:53+00,,Sign 68,4:24:53 PM,,"Oct 30, 2020 at 4:24:53 PM",,,,,,,,,,,,,,,,
-78.77944879,43.00149602,177.8376408,2020/10/30 20:25:51+00,,Sign 69,4:25:51 PM,,"Oct 30, 2020 at 4:25:51 PM",,,,,,,,,,,,,,,,
-78.77830442,43.00162952,179.734449,2020/10/30 20:27:39+00,,Sign 70,4:27:39 PM,,"Oct 30, 2020 at 4:27:39 PM",,,,,,,,,,,,,,,,
-78.77928718,43.00184321,178.1386391,2020/10/30 20:29:45+00,,Sign 71,4:29:45 PM,,"Oct 30, 2020 at 4:29:45 PM",,,,,,,,,,,,,,,,
-78.77952579,43.00184278,178.1999517,2020/10/30 20:30:31+00,,Sign 72,4:30:31 PM,,"Oct 30, 2020 at 4:30:31 PM",,,,,,,,,,,,,,,,
-78.77951012,43.00219571,178.0849959,2020/10/30 20:31:27+00,,Sign 73,4:31:27 PM,,"Oct 30, 2020 at 4:31:27 PM",,,,,,,,,,,,,,,,
-78.77907763,43.00234669,178.8094261,2020/10/30 20:32:30+00,,Sign 74,4:32:30 PM,,"Oct 30, 2020 at 4:32:30 PM",,,,,,,,,,,,,,,,
-78.77922277,43.00254261,177.6839204,2020/10/30 20:33:20+00,,Sign 75,4:33:20 PM,,"Oct 30, 2020 at 4:33:20 PM",,,,,,,,,,,,,,,,
-78.77816288,43.00337959,178.607333,2020/10/30 20:35:34+00,,Sign 76,4:35:34 PM,,"Oct 30, 2020 at 4:35:34 PM",,,,,,,,,,,,,,,,
-78.77831527,43.00359393,177.6171902,2020/10/30 20:36:25+00,,Sign 77,4:36:25 PM,,"Oct 30, 2020 at 4:36:25 PM",,,,,,,,,,,,,,,,
-78.78067297,43.00106056,178.2173073,2020/10/30 20:41:41+00,,Sign 78,4:41:41 PM,,"Oct 30, 2020 at 4:41:41 PM",,,,,,,,,,,,,,,,
-78.78011924,42.99907777,179.0822774,2020/10/30 20:45:16+00,,Sign 79,4:45:16 PM,,"Oct 30, 2020 at 4:45:16 PM",,,,,,,,,,,,,,,,
-78.78009761,42.99891689,180.3222027,2020/10/30 20:46:00+00,,Sign 80,4:46:00 PM,,"Oct 30, 2020 at 4:46:00 PM",,,,,,,,,,,,,,,,
-78.78019198,42.99873048,182.0703068,2020/10/30 20:46:42+00,,Sign 81,4:46:42 PM,,"Oct 30, 2020 at 4:46:42 PM",,,,,,,,,,,,,,,,
-78.78001176,42.99816135,182.2030773,2020/10/30 20:48:03+00,,Sign 82,4:48:03 PM,,"Oct 30, 2020 at 4:48:03 PM",,,,,,,,,,,,,,,,
-78.78055371,42.99801478,181.8480465,2020/10/30 20:49:03+00,,Sign 83,4:49:03 PM,,"Oct 30, 2020 at 4:49:03 PM",,,,,,,,,,,,,,,,
-78.7809897,42.99816083,181.4852697,2020/10/30 20:50:01+00,,Sign 84,4:50:01 PM,,"Oct 30, 2020 at 4:50:01 PM",,,,,,,,,,,,,,,,
-78.78122263,42.99774565,182.4966737,2020/10/30 20:51:26+00,,Sign 85,4:51:26 PM,,"Oct 30, 2020 at 4:51:26 PM",,,,,,,,,,,,,,,,
-78.78091088,42.99854606,180.8392144,2020/10/30 20:52:55+00,,Sign 86,4:52:55 PM,,"Oct 30, 2020 at 4:52:55 PM",,,,,,,,,,,,,,,,
-78.78188196,42.99824732,180.7776628,2020/10/30 20:54:27+00,,Sign 87,4:54:27 PM,,"Oct 30, 2020 at 4:54:27 PM",,,,,,,,,,,,,,,,
